x,y
0.00,31.63
1.00,32.84
2.00,34.05
3.00,35.26
4.00,36.47
5.00,37.68
6.00,38.89
7.00,40.10
8.00,41.31
9.00,42.52
10.00,43.73
11.00,44.94
12.00,46.15
13.00,47.36
14.00,48.57
15.00,49.78
16.00,50.99
17.00,52.20
18.00,53.41
19.00,54.62
20.00,55.83
21.00,57.04
22.00,58.25
23.00,59.46
24.00,60.67
25.00,61.88
26.00,63.09
27.00,64.30
28.00,65.51
29.00,66.72
30.00,67.93
31.00,69.14
32.00,70.35
33.00,71.56
34.00,72.77
35.00,73.98
36.00,75.19
37.00,76.40
38.00,77.61
39.00,78.82
40.00,80.03
41.00,81.24
42.00,82.45
43.00,83.66
44.00,84.87
45.00,86.08
46.00,87.29
47.00,88.50
48.00,89.71
49.00,90.92
50.00,92.13
51.00,93.34
52.00,94.55
53.00,95.76
54.00,96.97
55.00,98.18
56.00,99.39
57.00,100.60
58.00,101.81
59.00,103.02
60.00,104.23
61.00,105.44
62.00,106.65
63.00,107.86
64.00,109.07
65.00,110.28
66.00,111.49
67.00,112.70
68.00,113.91
69.00,115.12
70.00,116.33
71.00,117.54
72.00,118.75
73.00,119.96
74.00,121.17
75.00,122.38
76.00,123.59
77.00,124.80
78.00,126.01
79.00,127.22
80.00,128.43
81.00,129.64
82.00,130.85
83.00,132.06
84.00,133.27
85.00,134.48
86.00,135.69
87.00,136.90
88.00,138.11
89.00,139.32
90.00,140.53
91.00,141.74
92.00,142.95
93.00,144.16
94.00,145.37
95.00,146.58
96.00,147.79
97.00,149.00
98.00,150.21
99.00,151.42
